Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Willis Towers Watson,2545,United Kingdom,https://www.wtwco.com/,S&P 500,,Europe,Mature,Insurance,Willis Towers Watson is a global advisory and solutions company that helps clients around the world turn risk into a path for growth.,crunchbase,https://www.crunchbase.com/organization/willis-towers-watson,2024-05-16,1,,1.0,0,44,1,0,0,0,0,105,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2259,London,London,https://parat.eto.tech/company/2545-willis-towers-watson
JD.com,133,China,http://corporate.jd.com/,"Global Big Tech, GenAI Contenders",Jingdong AI,Asia,Mature,Retailers,JD.com is an internet company and online consumer electronics retailer in China.,crunchbase,https://www.crunchbase.com/organization/jd-com,2024-05-16,1187,32.87385129490393,53.1,402,48994,566,175,52,52,84,2234,404,116.25566018318413,14.8,198,2735,4,5,108,3,0,2,1,0,21,2,0,0,0,189,0,8,0,21,29,7,85,25,0,15,1,16,58,1,9,439,2249,Beijing,Beijing ,https://parat.eto.tech/company/133-jd-com
Gartner,2336,United States,https://www.gartner.com/,S&P 500,,North America,Mature,Software & IT Services,"Gartner provides fact-based consulting services, helping clients use and manage IT to enhance business performance.",crunchbase,https://www.crunchbase.com/organization/gartner,2024-05-16,2,-50.0,1.0,0,3,0,0,0,0,0,208,1,-100.0,25.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,547,2246,Stamford,Connecticut,https://parat.eto.tech/company/2336-gartner
Ameriprise Financial,2212,United States,https://www.ameriprise.com/,S&P 500,H&R Block,North America,Mature,Banking & Investment Services,"Ameriprise Financial is a financial services company that provides financial planning, products, and services.",crunchbase,https://www.crunchbase.com/organization/ameriprise-financial,2024-05-16,3,,21.4,0,20,0,3,0,1,0,14,0,,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,2109,Minneapolis,Minnesota,https://parat.eto.tech/company/2212-ameriprise-financial
Eli Lilly And Company,434,United States,http://www.lilly.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Eli Lilly engages in the discovery, development, manufacture, and sale of products in pharmaceutical products business segment.",crunchbase,https://www.crunchbase.com/organization/eli-lilly,2024-05-16,105,32.005012531328326,0.8,4,1529,21,3,2,1,0,13353,7,,0.6,1,1237,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,618,2107,Indianapolis,Indiana,https://parat.eto.tech/company/434-eli-lilly-and-company
Alibaba,21,China,http://alibabagroup.com,"Global Big Tech, GenAI Contenders",,Asia,Mature,Software & IT Services,"Alibaba Group enables businesses to transform the way they market, sell, operate, and improve their efficiencies.",crunchbase,https://www.crunchbase.com/organization/alibaba,2024-05-16,4316,23.838652051439965,61.4,2003,126940,1581,1056,83,153,475,7030,2164,72.56580645007854,7.3,961,29638,2,133,395,13,0,6,10,7,38,31,0,0,10,1256,3,87,2,184,43,36,360,26,3,68,23,36,202,0,89,409,2103,Hangzhou,Zhejiang,https://parat.eto.tech/company/21-alibaba
Sanofi,989,France,https://www.sanofi.com/,,,Europe,Mature,Pharmaceuticals & Medical Research,Sanofi is a healthcare company that provides treatments and the protection of life-saving vaccines.,crunchbase,https://www.crunchbase.com/organization/sanofi,2024-05-16,95,17.41452991452991,0.7,1,1897,13,8,2,0,3,13809,30,166.66666666666666,1.3,7,2317,0,0,0,0,0,0,0,0,0,22,0,0,0,6,2,0,0,0,0,2,5,0,0,1,0,3,0,0,0,677,2102,Paris,Île-De-France,https://parat.eto.tech/company/989-sanofi
Warner Bros. Discovery,3162,United States,https://wbd.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,Warner Bros. Discovery is an media conglomerate formed from the 2022 merger of WarnerMedia and Discovery.,crunchbase,https://www.crunchbase.com/organization/discovery-inc,2024-05-16,5,,4.1,1,35,1,0,1,0,0,123,10,61.111111111111114,21.3,8,47,0,0,3,0,0,2,0,3,1,2,0,0,1,6,0,0,0,6,0,3,2,0,0,1,0,0,2,0,1,262,2088,New York,New York,https://parat.eto.tech/company/3162-warner-bros-discovery
Baker Hughes,1564,United States,http://www.bakerhughes.com,S&P 500,,North America,Mature,Industrial & Commercial Services,Baker Hughes is an energy technology company that provides solutions for energy and industrial customers worldwide.,crunchbase,https://www.crunchbase.com/organization/baker-hughes,2024-05-16,75,80.47619047619047,1.9,0,567,8,2,14,0,0,4038,96,58.51851851851851,2.0,39,4883,2,0,10,0,0,1,4,0,20,3,0,0,0,40,45,4,0,6,1,11,19,32,0,5,2,34,10,0,0,301,2073,Houston,Texas,https://parat.eto.tech/company/1564-baker-hughes
Xerox,787,United States,https://www.xerox.com/,,,North America,Mature,Software & IT Services,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.",crunchbase,https://www.crunchbase.com/organization/xerox,2024-05-16,210,-36.666666666666664,27.3,67,25756,64,88,2,6,3,769,218,-31.809707194816312,12.0,143,1818,2,1,26,0,2,4,4,0,15,28,0,3,7,121,5,7,3,39,12,40,67,28,0,23,16,25,18,0,9,98,2067,Norwalk,Connecticut,https://parat.eto.tech/company/787-xerox
Keysight Technologies,2383,United States,https://www.keysight.com/,S&P 500,,North America,Mature,Technology Equipment,Keysight Technologies is an electronic measurement company.,crunchbase,https://www.crunchbase.com/organization/keysight-technologies,2024-05-16,26,-26.111111111111114,2.9,0,439,6,0,3,0,0,885,14,-25.0,2.1,11,682,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,9,0,5,0,1,0,3,0,1,0,0,0,50,2024,Santa Rosa,California,https://parat.eto.tech/company/2383-keysight-technologies
Boston Consulting Group,718,United States,https://www.bcg.com/,,,North America,Mature,Industrial & Commercial Services,The Boston Consulting Group is a global management consulting firm and an advisor on business strategy.,crunchbase,https://www.crunchbase.com/organization/boston-consulting-group,2024-05-16,28,36.111111111111114,6.7,3,292,2,2,4,1,1,420,25,125.0,50.0,13,50,2,2,21,0,0,0,0,0,3,0,0,0,0,14,2,0,0,2,0,1,0,0,0,0,0,0,11,0,0,857,2021,Boston,Massachusetts,https://parat.eto.tech/company/718-boston-consulting-group
Northern Trust,2437,United States,https://www.northerntrust.com/,S&P 500,,North America,Mature,Banking & Investment Services,"Northern Trust is a global leader in delivering innovative investment management, asset and fund administration, fiduciary and banking.",crunchbase,https://www.crunchbase.com/organization/northern-trust,2024-05-16,0,,0.0,0,0,0,0,0,0,0,5,2,,18.2,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,264,2018,Chicago,Illinois,https://parat.eto.tech/company/2437-northern-trust
Arista Networks,2220,United States,https://www.arista.com/,S&P 500,,North America,Mature,Technology Equipment,Arista Networks is a computer networking firm delivering cloud networking solutions for large data center and computer environments.,crunchbase,https://www.crunchbase.com/organization/arista-networks,2024-05-16,6,-50.0,4.4,0,46,1,1,0,0,0,135,13,0.0,1.8,10,717,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,7,0,0,0,4,0,0,0,0,0,20,2014,Santa Clara,California,https://parat.eto.tech/company/2220-arista-networks
ZTE,289,China,http://zte.com.cn,,,Asia,Mature,Technology Equipment,ZTE provides telecommunications equipment and network solutions.,crunchbase,https://www.crunchbase.com/organization/zte-corporation,2024-05-16,160,43.14992025518341,7.6,10,2195,74,15,9,2,7,2095,552,45.42010040731268,1.8,80,30087,0,0,27,2,0,4,7,0,7,2,0,0,0,214,4,18,0,250,12,95,80,7,0,9,1,14,24,0,5,36,2011,Shenzhen,Guangdong,https://parat.eto.tech/company/289-zte
Global Payments,2341,United States,https://www.globalpaymentsinc.com/,S&P 500,,North America,Mature,Industrial & Commercial Services,"Global Payments offers transaction processing services through their high-speed, robust electronic information networks.",crunchbase,https://www.crunchbase.com/organization/global-payments,2024-05-16,0,,0.0,0,0,0,0,0,0,0,1,3,,13.6,2,22,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,98,2009,Atlanta,Georgia,https://parat.eto.tech/company/2341-global-payments
KPMG,539,United States,http://www.kpmg.com/,,,North America,Mature,Industrial & Commercial Services,"KPMG is a network of independent member firms offering audit, tax, and advisory services.",crunchbase,https://www.crunchbase.com/organization/kpmg,2024-05-16,49,105.55555555555556,4.4,1,587,8,6,1,1,0,1113,36,-100.0,36.4,14,99,0,6,10,1,0,0,0,0,0,2,0,0,0,22,0,5,0,6,0,0,2,0,0,11,1,0,9,0,0,406,2006,Montvale,New Jersey,https://parat.eto.tech/company/539-kpmg
Cardinal Health,1807,United States,https://www.cardinalhealth.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,Cardinal Health is a manufacturer and distributor of medical and laboratory products.,crunchbase,https://www.crunchbase.com/organization/cardinal-health,2024-05-16,10,-100.0,1.4,0,75,1,2,2,0,0,707,2,0.0,1.8,1,110,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324,2005,Dublin,Ohio,https://parat.eto.tech/company/1807-cardinal-health
Eaton Corporation,427,Ireland,http://www.eaton.com,S&P 500,,Europe,Mature,Industrial Goods,"Eaton Corporation is a diversified power management company for electrical, hydraulic, and mechanical applications.",crunchbase,https://www.crunchbase.com/organization/eaton,2024-05-16,31,13.888888888888888,1.8,3,396,5,0,5,1,0,1733,37,50.0,0.9,3,3977,0,0,4,0,0,1,7,1,2,3,0,0,0,11,3,1,0,2,3,2,1,6,0,8,0,8,4,0,0,198,2000,Dublin,Dublin,https://parat.eto.tech/company/427-eaton-corporation
Nasdaq,2425,United States,https://www.nasdaq.com/,S&P 500,,North America,Mature,Banking & Investment Services,"Nasdaq is a global provider of trading, clearing, exchange technology, listing, information, and public company services.",crunchbase,https://www.crunchbase.com/organization/nasdaq,2024-05-16,4,-50.0,8.0,0,16,1,0,0,0,0,50,22,100.0,13.6,8,162,0,6,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,2,0,0,2,0,0,4,0,0,135,1994,New York,New York,https://parat.eto.tech/company/2425-nasdaq
Dominion Energy,2290,United States,https://www.dominionenergy.com/,S&P 500,,North America,Mature,Utilities,Dominion is an electric power and natural gas company.,crunchbase,https://www.crunchbase.com/organization/dominion-resources-inc,2024-05-16,0,,0.0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1994,Richmond,Virginia,https://parat.eto.tech/company/2290-dominion-energy
Best Buy,1995,United States,https://www.bestbuy.com/,S&P 500,,North America,Mature,Retailers,Best Buy is a multinational retailer of technology and entertainment products and services offering consumer electronics and more.,crunchbase,https:// https://www.crunchbase.com/organization/bestbuy,2024-05-16,0,,0.0,0,0,0,0,0,0,0,7,3,-100.0,3.1,3,97,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,206,1977,Richfield,Minnesota,https://parat.eto.tech/company/1995-best-buy
CBRE Group,2249,United States,https://www.cbre.us,S&P 500,,North America,Mature,Real Estate,CBRE Group provides commercial real estate services and investments.,crunchbase,https://www.crunchbase.com/organization/cbre-group,2024-05-16,0,,0.0,0,0,0,0,0,0,0,34,2,,28.6,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,401,1947,Dallas,Texas,https://parat.eto.tech/company/2249-cbre-group
AbbVie,2083,United States,https://www.abbvie.com/,S&P 500,Allergan,North America,Mature,Pharmaceuticals & Medical Research,"AbbVie is a pharmaceutical company that discovers, develops, and markets medicines.",crunchbase,https:// https://www.crunchbase.com/organization/abbvie,2024-05-16,74,34.166666666666664,0.6,1,973,14,6,15,1,1,12934,3,-100.0,0.3,2,1191,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,685,1915,North Chicago,Illinois,https://parat.eto.tech/company/2083-abbvie
Prudential Financial,1895,United States,https://www.prudential.com/,S&P 500,,North America,Mature,Insurance,"Prudential Financial specializes in the fields of investment management, life insurance, and retirement benefits.",crunchbase,https:// https://www.crunchbase.com/organization/prudential-financial,2024-05-16,1,-100.0,0.8,0,31,0,0,0,0,0,127,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1911,Newark,New Jersey,https://parat.eto.tech/company/1895-prudential-financial
Principal Financial Group,2462,United States,https://www.principal.com/,S&P 500,,North America,Mature,Banking & Investment Services,"Principal Financial Group provides retirement savings, investment, and insurance products and services worldwide.",crunchbase,https://www.crunchbase.com/organization/principal-financial-group,2024-05-16,2,-100.0,10.0,0,7,0,0,0,0,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1908,Des Moines,Iowa,https://parat.eto.tech/company/2462-principal-financial-group
McKesson,1794,United States,https://www.mckesson.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"McKesson distributes medical supplies, information technology, and care management products and services.",crunchbase,https://www.crunchbase.com/organization/mckesson,2024-05-16,22,-50.0,4.3,0,34,5,1,0,0,0,517,11,,6.9,7,160,0,2,6,0,0,0,0,0,0,4,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,2,6,0,0,307,1894,Irving,Texas,https://parat.eto.tech/company/1794-mckesson
American International Group,3105,United States,https://www.aig.com/,S&P 500,,North America,Mature,Insurance,"American International Group provides property insurance, life insurance, and financial services.",crunchbase,https:// https://www.crunchbase.com/organization/american-international-group ,2024-05-16,10,-16.666666666666668,9.8,3,90,1,3,1,0,0,102,5,-50.0,35.7,5,14,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,4,0,0,1,0,0,3,0,0,267,1870,New York,New York,https://parat.eto.tech/company/3105-american-international-group
Analog Devices,331,United States,http://www.analog.com,S&P 500,,North America,Mature,Technology Equipment,"Analog Devices (NYSE: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal",crunchbase,https://www.crunchbase.com/organization/analog-devices,2024-05-16,55,72.6984126984127,3.5,1,605,15,0,12,0,0,1552,65,220.0,2.2,32,2917,0,0,0,0,0,0,5,1,2,12,0,0,0,32,0,3,0,21,4,9,4,13,0,0,0,14,0,0,6,98,1867,Wilmington,Massachusetts,https://parat.eto.tech/company/331-analog-devices
Microchip Technology,2415,United States,http://www.microchip.com/,S&P 500,,North America,Mature,Technology Equipment,Microchip Technology develops and manufactures semiconductor products for various embedded control applications worldwide.,crunchbase,https://www.crunchbase.com/organization/microchip-technology,2024-05-16,3,-100.0,1.7,0,369,0,0,1,0,0,173,151,116.66666666666667,10.3,68,1461,0,0,1,0,0,0,0,0,0,0,0,0,0,126,0,1,14,12,0,1,1,1,0,0,0,0,1,0,0,19,1828,Chandler,Arizona,https://parat.eto.tech/company/2415-microchip-technology
Zebra Technologies,2551,United States,https://www.zebra.com/,S&P 500,,North America,Mature,Technology Equipment,"Zebra Technologies is a provider of solutions such as barcode printers, scanners, RFID technology, handheld computers, and more.",crunchbase,https://www.crunchbase.com/organization/zebra-technologies,2024-05-16,19,33.333333333333336,19.6,1,671,9,1,2,0,0,97,91,230.39215686274508,6.0,46,1524,0,10,20,0,4,0,0,0,3,1,0,0,0,54,0,3,0,10,14,1,31,15,0,1,10,9,14,2,0,102,1827,Lincolnshire,Illinois,https://parat.eto.tech/company/2551-zebra-technologies
Dish Network,2288,United States,https://www.dish.com/,,,North America,Mature,Cyclical Consumer Services,DISH Network provides television entertainment and technology to customers with its satellite DISH TV and streaming SLING TV services.,crunchbase,https://www.crunchbase.com/organization/dish-network,2024-05-16,0,,0.0,0,0,0,0,0,0,0,8,54,102.38095238095238,10.2,42,530,0,2,14,0,0,1,0,1,0,2,0,0,1,20,0,0,0,36,8,10,4,7,0,3,1,6,3,0,4,221,1750,Englewood,Colorado,https://parat.eto.tech/company/2288-dish-network
Southwest Airlines,2494,United States,https://www.southwest.com/,S&P 500,,North America,Mature,Transportation,Southwest Airlines (NYSE: LUV) continues to differentiate itself from other carriers with exemplary Customer Service delivered .,crunchbase,https://www.crunchbase.com/organization/southwest-airlines,2024-05-16,2,-100.0,6.5,0,17,0,0,0,0,0,31,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1746,Dallas,Texas,https://parat.eto.tech/company/2494-southwest-airlines
CDW,2250,United States,http://cdw.com/,S&P 500,,North America,Mature,Technology Equipment,"CDW is a provider of IT solutions for business, government, education, and healthcare.",crunchbase,https://www.crunchbase.com/organization/cdw-corporation,2024-05-16,0,,0.0,0,0,0,0,0,0,0,1,20,100.0,55.6,11,36,0,0,15,0,0,2,0,0,0,4,0,0,0,15,0,3,0,7,0,2,3,2,0,3,0,0,14,0,7,95,1734,Vernon Hills,Illinois,https://parat.eto.tech/company/2250-cdw
Pinterest,635,United States,https://pinterest.com,,,North America,Mature,Software & IT Services,Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,crunchbase,https://www.crunchbase.com/organization/pinterest,2024-05-16,86,76.42195767195768,51.8,53,7066,19,8,1,5,5,166,34,52.5,43.0,22,79,0,0,12,0,0,0,0,0,0,0,0,0,4,27,0,2,0,6,0,0,4,0,0,2,0,0,2,0,0,361,1723,San Francisco,California,https://parat.eto.tech/company/635-pinterest
Tyler Technologies,3093,United States,https://www.tylertech.com/,S&P 500,,North America,Mature,Software & IT Services,Tyler Technologies is a software company providing integrated software and technology services to the public sector.,crunchbase,https:// https://www.crunchbase.com/organization/tyler-technologies,2024-05-16,0,,0.0,0,0,0,0,0,0,0,1,1,-100.0,50.0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,1721,Plano,Texas,https://parat.eto.tech/company/3093-tyler-technologies
Intercontinental Exchange,2368,United States,https://www.ice.com/,S&P 500,,North America,Mature,Banking & Investment Services,Intercontinental Exchange is an operator of regulated exchanges and clearing houses serving the risk management needs of global markets.,crunchbase,https://www.crunchbase.com/organization/intercontinentalexchange,2024-05-16,3,,23.1,0,6,0,0,0,0,0,13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,1687,Atlanta,Georgia,https://parat.eto.tech/company/2368-intercontinental-exchange
Fair Isaac,6957,United States,https://www.fico.com/,S&P 500,,North America,Mature,Unknown,"FICO (legal name: Fair Isaac Corporation), originally Fair, Isaac and Company, is a data analytics company based in Bozeman, Montana, focused on credit scoring services. It was founded by Bill Fair and Earl Isaac in 1956. Its FICO score, a measure of consumer credit risk, has become a fixture of consumer lending in the United States.",wikipedia,https://en.wikipedia.org/wiki/FICO,2024-06-04,8,0.0,6.7,1,38,0,1,0,0,0,119,60,24.603174603174605,58.3,38,103,0,19,20,2,0,0,0,0,0,4,0,0,0,36,0,5,0,8,0,0,4,0,1,15,2,0,11,0,0,168,1687,Bozeman,Montana,https://parat.eto.tech/company/6957-fair-isaac
Agilent Technologies,313,United States,http://www.agilent.com,S&P 500,,North America,Mature,Healthcare Services & Equipment,"Agilent Technologies, Inc. is a global company headquartered in Santa Clara, California, that provides instruments, software, services, and consumables for laboratories. Agilent was established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time. From 1999 to 2014, the company produced optics (LED, laser), semiconductors, EDA software and test and measurement equipment for electronics; that division was spun off to form Keysight. Since then, the company has continued to expand into pharmaceutical, diagnostics & clinical, and academia & government (research) markets.",wikipedia,https://en.wikipedia.org/wiki/Agilent_Technologies,2024-05-24,20,52.77777777777778,0.9,0,738,6,1,4,0,0,2266,11,,1.7,2,658,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,1,6,0,0,0,0,7,0,0,0,88,1673,Santa Clara,California,https://parat.eto.tech/company/313-agilent-technologies
Marsh & Mclennan,2406,United States,https://www.marshmclennan.com/,S&P 500,,North America,Mature,Insurance,Marsh & McLennan Companies is a global professional services firm providing advice and solutions in the areas of risk.,crunchbase,https://www.crunchbase.com/organization/marsh-mclennan-companies-inc,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1645,New York,New York,https://parat.eto.tech/company/2406-marsh-mclennan
Merck,1492,United States,http://www.merck.com,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases.,crunchbase,https://www.crunchbase.com/organization/merck-co-inc,2024-05-16,230,54.71794871794872,1.0,7,6970,57,24,11,2,2,23572,50,512.5,1.1,15,4727,1,0,13,1,0,0,0,0,10,18,0,0,0,15,0,3,6,3,0,1,11,8,0,2,1,6,13,0,0,445,1626,Township,New Jersey,https://parat.eto.tech/company/1492-merck
Cummins,2277,United States,http://www.cummins.com/,S&P 500,,North America,Mature,Automobiles & Auto Parts,"Cummins develops, sells, and services diesel and natural gas engines, power generation systems, and engine-related component products.",crunchbase,https://www.crunchbase.com/organization/cummins,2024-05-16,52,34.44444444444444,5.9,0,505,16,3,0,1,1,874,44,27.777777777777775,1.5,15,2842,0,1,5,0,0,0,24,0,1,2,0,0,0,7,3,0,0,1,23,1,1,34,0,0,0,10,5,0,0,244,1612,Columbus,Indiana,https://parat.eto.tech/company/2277-cummins
Twitter,734,United States,http://www.twitter.com/,,,North America,Mature,Software & IT Services,X is a social networking platform that allows its users to send and read microblogs.,crunchbase,https://www.crunchbase.com/organization/twitter,2024-05-16,171,8.989898989898991,15.5,84,69029,24,44,5,12,15,1101,50,-24.62406015037594,20.8,37,240,0,1,9,0,0,0,0,0,0,1,0,0,10,27,0,1,0,27,0,0,17,0,0,6,0,0,3,0,0,210,1592,San Francisco,California,https://parat.eto.tech/company/734-twitter
Becton Dickinson,2231,United States,http://www.bd.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,BD is a global medical technology company that is advancing the world of health by improving medical discovery.,crunchbase,https://www.crunchbase.com/organization/becton-dickinson,2024-05-16,17,-11.111111111111112,2.0,0,110,3,1,4,0,0,851,69,161.11111111111111,1.4,17,4822,0,2,3,0,0,0,0,0,2,58,0,0,0,8,1,3,0,2,0,11,15,1,0,2,0,13,3,0,0,153,1585,Franklin Lakes,New Jersey,https://parat.eto.tech/company/2231-becton-dickinson
Hartford Financial Services,2347,United States,https://www.thehartford.com/,S&P 500,,North America,Mature,Insurance,"The Hartford is an industry leading provider of property and casualty insurance, group benefits and mutual funds.",crunchbase,https://www.crunchbase.com/organization/the-hartford,2024-05-16,0,,0.0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,1581,Hartford,Connecticut,https://parat.eto.tech/company/2347-hartford-financial-services
Didi Chuxing,76,China,https://www.didiglobal.com/,,,Asia,Mature,Transportation,"Didi is a mobility technology platform that offers ride hailing, taxi hailing, food delivery, and financial services.",crunchbase,https://www.crunchbase.com/organization/didi-dache,2024-05-16,272,-3.432678432678433,67.7,101,9497,94,29,10,16,11,402,540,588.1296390730353,15.9,272,3398,0,23,197,9,0,1,2,1,4,5,0,0,1,247,0,10,0,66,91,6,61,52,1,10,2,64,138,0,53,556,1567,Beijing,Beijing ,https://parat.eto.tech/company/76-didi-chuxing
Starbucks,2496,United States,https://www.starbucks.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,"Starbucks is an international restaurant chain that retails handcrafted coffee, tea, and fresh food items.",crunchbase,https://www.crunchbase.com/organization/starbucks,2024-05-16,2,,3.9,0,27,0,1,0,0,0,51,5,,2.5,3,202,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,185,1555,Seattle,Washington,https://parat.eto.tech/company/2496-starbucks
HCA Healthcare,1963,United States,https://hcahealthcare.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"HCA Healthcare is a healthcare network that provides surgery centers, freestanding ERs, urgent care centers, and physician clinics services.",crunchbase,https:// https://www.crunchbase.com/organization/hca-midamerica-division,2024-05-16,7,-75.0,0.6,0,22,2,0,3,0,0,1191,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,1548,Nashville,Tennessee,https://parat.eto.tech/company/1963-hca-healthcare
Sony,1132,Japan,http://www.sony.net/,,,Asia,Mature,Technology Equipment,"Sony develops and manufactures audio, video, communications, and information technology products for the consumer and professional markets.",crunchbase,https://www.crunchbase.com/organization/sony,2024-05-16,437,42.76790176340401,30.5,83,13510,99,55,80,25,15,1435,1623,59.648677390612875,5.9,551,27352,9,26,90,1,0,20,12,303,74,142,0,0,8,630,7,65,14,477,97,143,568,120,5,37,6,136,54,1,174,118,1543,Tokyo,Kantō,https://parat.eto.tech/company/1132-sony
Elsevier,436,Netherlands,http://www.elsevier.com,,,Europe,Mature,Cyclical Consumer Services,"Elsevier is a world-leading provider of information solutions that enhance the performance of science, health, and technology.",crunchbase,https://www.crunchbase.com/organization/elsevier,2024-05-16,131,21.84455391351943,3.8,23,2589,3,71,2,3,6,3431,24,83.33333333333333,20.9,17,115,0,4,1,0,0,0,0,0,0,0,0,0,0,18,0,3,0,3,0,3,6,2,0,3,1,4,0,0,0,213,1537,Amsterdam,Noord-Holland,https://parat.eto.tech/company/436-elsevier
